file,band_lo_hz,band_hi_hz,band_label,band_tag,rt60_s,r2,method,quality,capped,mode
Bathroom lol.m4a,44.54772721475249,89.095454429505,,45–89,3.9025999999999996,0.9651045378204034,REG,OK,True,ML Test · Reference Octaves
Bathroom lol.m4a,88.38834764831843,176.7766952966369,,88–177,2.791440387830389,0.8829078163262272,REG,CHECK,False,ML Test · Reference Octaves
Bathroom lol.m4a,176.77669529663686,353.5533905932738,,177–354,1.421388299678885,0.9447112070082438,REG,OK,False,ML Test · Reference Octaves
Bathroom lol.m4a,353.5533905932737,707.1067811865476,,354–707,1.4493438489621184,0.9310004801244252,REG,OK,False,ML Test · Reference Octaves
Bathroom lol.m4a,707.1067811865474,1414.213562373095,,707–1k,1.528219293753549,0.9477733779013352,REG,OK,False,ML Test · Reference Octaves
Bathroom lol.m4a,1414.2135623730949,2828.42712474619,,1k–2k,2.560738487151441,0.9084386809795585,REG,OK,False,ML Test · Reference Octaves
Bathroom lol.m4a,2828.4271247461897,5656.85424949238,,2k–5k,2.3618960855547217,0.9367137399273265,REG,OK,False,ML Test · Reference Octaves
Bathroom lol.m4a,5656.8542494923795,11313.70849898476,,5k–11k,2.685353125,0.8772028985597703,REG,CHECK,True,ML Test · Reference Octaves
Bathroom lol.m4a,11313.708498984759,22627.41699796952,,11k–22k,3.190555208333333,0.8714190423275315,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 1.m4a,22.273863607376246,44.5477272147525,,22–45,4.267578125,0.8705458137732707,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 1.m4a,44.54772721475249,89.095454429505,,45–89,6.2754625,0.8987363774948851,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 1.m4a,88.38834764831843,176.7766952966369,,88–177,3.3614364583333334,0.9303468970791046,REG,OK,True,ML Test · Reference Octaves
Bathroom test 1.m4a,176.77669529663686,353.5533905932738,,177–354,3.3589822916666665,0.8027962747010163,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 1.m4a,353.5533905932737,707.1067811865476,,354–707,3.4005249999999996,0.6784565420939989,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 1.m4a,707.1067811865474,1414.213562373095,,707–1k,1.3455420514327536,0.9972760007368594,REG,OK,False,ML Test · Reference Octaves
Bathroom test 1.m4a,1414.2135623730949,2828.42712474619,,1k–2k,3.362327083333333,0.4750984730045768,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 1.m4a,2828.4271247461897,5656.85424949238,,2k–5k,3.3818812499999997,0.5218529748778827,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 1.m4a,5656.8542494923795,11313.70849898476,,5k–11k,3.373984375,0.550144182639662,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 1.m4a,11313.708498984759,22627.41699796952,,11k–22k,3.365295833333333,0.5317439491643953,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 2.m4a,22.273863607376246,44.5477272147525,,22–45,2.197745833333333,0.8178664875256609,REG,CHECK,True,ML Test · Reference Octaves
Bathroom test 2.m4a,44.54772721475249,89.095454429505,,45–89,0.10319375,0.911638111288057,REG,OK,True,ML Test · Reference Octaves
